url, cart, shop, sell, busket, sale, wish list, order, price, $, ils, pay, store, buy, offers, deals, basket, product, item, deal, market, itm, bag, visa, mastercard, paypal, condision, sort, PAYMENT, buy now, add to cart, add to basket, add to wishlist, track order, usd, euro, wishlist
http://www.bestbuy.com/site/mobile-phone-accessories/cases-covers-clips/abcat0811006.c?id=abcat0811006 , 0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.barbiecollector.com/shop/browse/term/12 , 0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.dx.com/p/protective-pet-matte-screen-protector-guard-film-for-samsung-galaxy-s3-i9300-5-piece-pack-138749 , 0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.bestbuy.com/site/mobile-cell-phones/iphone/pcmcat305200050000.c?id=pcmcat305200050000 , 0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.bestbuy.com/site/mobile-phone-accessories/cases-covers-clips/abcat0811006.c?id=abcat0811006 , 0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.barbiecollector.com/shop/browse/term/12 , 0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.dx.com/p/protective-pet-matte-screen-protector-guard-film-for-samsung-galaxy-s3-i9300-5-piece-pack-138749 , 0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.bestbuy.com/site/mobile-phone-accessories/cases-covers-clips/abcat0811006.c?id=abcat0811006 , 0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.bestbuy.com/site/mobile-cell-phones/iphone/pcmcat305200050000.c?id=pcmcat305200050000 , 0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.shoebuy.com/ , 0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.shoebuy.com/ , 0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.shoebuy.com/ , 0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.bestbuy.com/site/mobile-cell-phones/iphone/pcmcat305200050000.c?id=pcmcat305200050000 
 , 0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
